,Date,HomeTeam,AwayTeam,FTHG,FTAG,Referee
139,01/12/2019,Man United,Aston Villa,2,2,C Pawson
140,03/12/2019,Crystal Palace,Bournemouth,1,0,A Taylor
141,03/12/2019,Burnley,Man City,1,4,J Moss
142,04/12/2019,Chelsea,Aston Villa,2,1,C Kavanagh
143,04/12/2019,Leicester,Watford,2,0,C Pawson
144,04/12/2019,Man United,Tottenham,2,1,P Tierney
145,04/12/2019,Southampton,Norwich,2,1,K Friend
146,04/12/2019,Wolves,West Ham,2,0,A Marriner
147,04/12/2019,Liverpool,Everton,5,2,M Dean
148,05/12/2019,Sheffield United,Newcastle,0,2,S Attwell
149,05/12/2019,Arsenal,Brighton,1,2,G Scott
150,07/12/2019,Everton,Chelsea,3,1,C Pawson
151,07/12/2019,Bournemouth,Liverpool,0,3,C Kavanagh
152,07/12/2019,Tottenham,Burnley,5,0,K Friend
153,07/12/2019,Watford,Crystal Palace,0,0,M Atkinson
154,07/12/2019,Man City,Man United,1,2,A Taylor
155,08/12/2019,Aston Villa,Leicester,1,4,M Oliver
156,08/12/2019,Newcastle,Southampton,2,1,D Coote
157,08/12/2019,Norwich,Sheffield United,1,2,S Hooper
158,08/12/2019,Brighton,Wolves,2,2,J Moss
159,09/12/2019,West Ham,Arsenal,1,3,M Dean
160,14/12/2019,Liverpool,Watford,2,0,A Marriner
161,14/12/2019,Burnley,Newcastle,1,0,T Robinson
162,14/12/2019,Chelsea,Bournemouth,0,1,G Scott
163,14/12/2019,Leicester,Norwich,1,1,A Madley
164,14/12/2019,Sheffield United,Aston Villa,2,0,P Bankes
165,14/12/2019,Southampton,West Ham,0,1,M Atkinson
166,15/12/2019,Man United,Everton,1,1,M Oliver
167,15/12/2019,Wolves,Tottenham,1,2,S Attwell
168,15/12/2019,Arsenal,Man City,0,3,P Tierney
169,16/12/2019,Crystal Palace,Brighton,1,1,C Pawson
170,21/12/2019,Everton,Arsenal,0,0,K Friend
171,21/12/2019,Aston Villa,Southampton,1,3,C Pawson
172,21/12/2019,Bournemouth,Burnley,0,1,M Atkinson
173,21/12/2019,Brighton,Sheffield United,0,1,R Jones
174,21/12/2019,Newcastle,Crystal Palace,1,0,S Hooper
175,21/12/2019,Norwich,Wolves,1,2,P Bankes
176,21/12/2019,Man City,Leicester,3,1,M Dean
177,22/12/2019,Watford,Man United,2,0,L Mason
178,22/12/2019,Tottenham,Chelsea,0,2,A Taylor
179,26/12/2019,Tottenham,Brighton,2,1,G Scott
180,26/12/2019,Aston Villa,Norwich,1,0,C Kavanagh
181,26/12/2019,Bournemouth,Arsenal,1,1,S Attwell
182,26/12/2019,Chelsea,Southampton,0,2,J Moss
183,26/12/2019,Crystal Palace,West Ham,2,1,A Marriner
184,26/12/2019,Everton,Burnley,1,0,A Taylor
185,26/12/2019,Sheffield United,Watford,1,1,D Coote
186,26/12/2019,Man United,Newcastle,4,1,K Friend
187,26/12/2019,Leicester,Liverpool,0,4,M Oliver
188,27/12/2019,Wolves,Man City,3,2,M Atkinson
189,28/12/2019,Brighton,Bournemouth,2,0,P Tierney
190,28/12/2019,Newcastle,Everton,1,2,L Mason
191,28/12/2019,Southampton,Crystal Palace,1,1,A Madley
192,28/12/2019,Watford,Aston Villa,3,0,S Hooper
193,28/12/2019,Norwich,Tottenham,2,2,K Friend
194,28/12/2019,West Ham,Leicester,1,2,D Coote
195,28/12/2019,Burnley,Man United,0,2,M Dean
196,29/12/2019,Arsenal,Chelsea,1,2,C Pawson
197,29/12/2019,Liverpool,Wolves,1,0,A Taylor
198,29/12/2019,Man City,Sheffield United,2,0,C Kavanagh
199,01/01/2020,Brighton,Chelsea,1,1,S Attwell
200,01/01/2020,Burnley,Aston Villa,1,2,M Oliver
201,01/01/2020,Newcastle,Leicester,0,3,M Atkinson
202,01/01/2020,Southampton,Tottenham,1,0,M Dean
203,01/01/2020,Watford,Wolves,2,1,A Madley
204,01/01/2020,Man City,Everton,2,1,A Marriner
205,01/01/2020,Norwich,Crystal Palace,1,1,J Moss
206,01/01/2020,West Ham,Bournemouth,4,0,G Scott
207,01/01/2020,Arsenal,Man United,2,0,C Kavanagh
208,02/01/2020,Liverpool,Sheffield United,2,0,P Tierney
209,10/01/2020,Sheffield United,West Ham,1,0,M Oliver
